Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Abacate (picado),1 colher de sopa cheia,45,3,79,331,,,
Abacaxi,1 fatia média,75,10,44,184,,,
Abacaxi em calda,1 fatia média,64,19,78,326,,,
"Abacaxi, polpa, congelada",1 unidade,100,8,31,130,,,
"Abacaxi, suco de com açúcar",1 copo duplo cheio,240,25,103,431,,,
Abadejo assado,1 filé médio,100,0,112,469,,,
Abará,1 unidade média,170,24,414,1732,,,
Abiu cru,1 unidade,100,15,62,259,,,
"Abobora cabotian, cozida",1 colher de sopa,36,3,14,59,,,
"Abobora Cabotian, crua",1 colher de sopa,36,4,17,71,,,
Abóbora d'água (picada),1 colher de sopa cheia,36,0,10,42,,,
Abóbora doce (picada),1 colher de sopa cheia,36,4,18,75,,,
Abóbora moranga (picada),1 colher de sopa cheia,36,1,7,29,,,
Abobrinha recheada,1 unidade,100,6,89,372,,,
"Abobrinha, italiana, cozida",1 colher de sopa,20,0,3,13,,,
"Abobrinha, italiana, crua",1 colher de sopa,20,1,4,17,,,
"Abobrinha, paulista, crua",1 colher de sopa,20,2,6,25,,,
Abricó-do-pará,1 fatia média,100,13,64,268,,,
Açafrão em pó,1 colher de sopa cheia,16,12,54,226,,,
Açaí (polpa da fruta natural),1 copo pequeno,150,55,220,920,,,
Açaí (polpa) com xarope de guaraná e glicose,1 taça pequena,100,21,110,460,,,
Açaí com farinha de mandioca,1 copo pequeno,150,85,339,1418,,,
Açaí com farinha de tapioca,1 copo pequeno,150,85,340,1423,,,
Açai natural Frooty ®,6 colheres de sopa rasas,60,13,62,259,,,
Açaí natural Frooty ®,1 bola,60,13,64,268,,,
Açaí natural Frooty zero ®,1 bola,60,10,35,146,,,
Açaí polpa congelada,1 unidade,100,6,58,243,,,
"Açaí, suco de",1 copo duplo cheio,240,72,438,1833,,,
Acarajé,1 unidade média,100,22,282,1180,,,
Acelga (picada),1 colher de sopa cheia,6,0,2,8,,,
Acém magro cozido,1 pedaço médio,100,0,215,900,,,
Acerola,1 unidade,12,1,4,17,,,
Achocolatado Diet Gold ®,1 colher de sopa,10,6,35,146,,,
Achocolatado Diet Linea ®,1 colher de sopa,12,5,30,126,,,
Achocolatado light Nescau ®,1 colher de sopa,10,8,35,146,,,
